,Data,ClienteID,FuncionarioID,ValorFrete,CupomID,EmpresaFrete,DataEntrega,Cliente,Cidade,Pais,Regiao,CEP,Extensao,NomeFuncionario,Genero,DataAdmissao,Escritorio,Supervisor,Cargo,SalarioAnual,MetaVendas,ProdutoID,Quantidade,Valor,Desconto,Custo,ValorLiquido,CategoriaID,Produto,FornecedorID,Categoria,Departamento,Descricao,Fornecedor,FornecedorPais,diaVenda,mesVenda,anoVenda,diaSemanaVenda,prazoEntrega,totalProduto,estacao
10,2015-10-30,80,11,"27,16",10518,Freight Express,2015-10-31,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,44,9,"691,29","0,0","572,3881","118,9019",2,Okkaba Skin Jackets,20,Womens wear,Clothing,Fashion for Women,Asin Fashion Ltd Co,Singapore,30,10,2015,Friday,1,"1070,1171",primavera
11,2017-09-25,80,11,"29,84",10847,Freight Express,2017-10-06,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,37,60,"285,12","47,52","209,5632","75,5568",8,Mehmet-Skor,17,Babywear,Clothing,0-3 Years,ABC,Sweden,25,9,2017,Monday,11,"4485,887999999999",primavera
12,2017-09-25,80,11,"29,84",10847,Freight Express,2017-10-06,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,19,12,"140,83","23,472","103,5115","37,3205",3,Squash Shorts,8,Sportwear,Clothing,Clothing for Active Adults,Hot Pants,UK,25,9,2017,Monday,11,"424,374",primavera
13,2017-09-25,80,11,"29,84",10847,Freight Express,2017-10-06,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,60,45,"279,18","46,53","205,1973","73,9827",3,Game Over T-Shirt,28,Sportwear,Clothing,Clothing for Active Adults,FrisersAfrong,France,25,9,2017,Monday,11,"3282,6914999999995",primavera
14,2017-09-25,80,11,"29,84",10847,Freight Express,2017-10-06,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,45,36,"378,0","63,0","277,83","100,17",6,Danske Treshoe,21,Mens Footwear,Shoes,Men Shoes,Prael Ltd,Denmark,25,9,2017,Monday,11,"3543,12",primavera
15,2017-09-25,80,11,"29,84",10847,Freight Express,2017-10-06,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,1,80,"1746,24","291,04","1302,4529","443,7872",1,Lenin Jeansshorts,1,Mens Clothes,Clothing,Fashion for Men,Sunny Clothes,UK,25,9,2017,Monday,11,"35211,935999999994",primavera
16,2017-09-25,80,11,"29,84",10847,Freight Express,2017-10-06,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,71,55,"1937,1","322,85","1518,7212","418,3788",1,Atles Lussekofta,15,Mens Clothes,Clothing,Fashion for Men,Bar Åkeri,Norway,25,9,2017,Monday,11,"22687,984",primavera
17,2016-09-25,80,11,"31,24",10576,Freight Express,2016-09-30,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,31,20,"165,0","0,0","143,5829","21,4171",4,Rossi Bermuda Shorts,14,Bath Clothes,Clothing,Beachwear,Ravenna Fashion,Italy,25,9,2016,Sunday,5,"428,34200000000004",primavera
18,2016-09-25,80,11,"31,24",10576,Freight Express,2016-09-30,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,1,10,"219,4","0,0","177,714","41,686",1,Lenin Jeansshorts,1,Mens Clothes,Clothing,Fashion for Men,Sunny Clothes,UK,25,9,2016,Sunday,5,"416,86",primavera
19,2016-09-25,80,11,"31,24",10576,Freight Express,2016-09-30,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,44,21,"1611,96","0,0","1305,6876","306,2724",2,Okkaba Skin Jackets,20,Womens wear,Clothing,Fashion for Women,Asin Fashion Ltd Co,Singapore,25,9,2016,Sunday,5,"6431,7204",primavera
20,2017-02-05,80,11,"31,78",10727,Freight Express,2017-02-19,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,59,10,"86,63","4,125","66,825","19,8",3,Rasta WCT,28,Sportwear,Clothing,Clothing for Active Adults,FrisersAfrong,France,5,2,2017,Sunday,14,"193,875",verão
21,2017-02-05,80,11,"31,78",10727,Freight Express,2017-02-19,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,17,20,"577,08","27,48","445,2786","131,8014",6,TieBreak Tennis shoes,7,Mens Footwear,Shoes,Men Shoes,New Balls,Australia,5,2,2017,Sunday,14,"2608,5480000000002",verão
22,2017-02-05,80,11,"31,78",10727,Freight Express,2017-02-19,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,56,10,"435,44","20,735","335,907","99,528",5,High Heels Shoes,26,Womens Footwear,Shoes,Ladies Shoes,Pirilli Company,Italy,5,2,2017,Sunday,14,"974,5450000000001",verão
23,2017-08-15,80,11,"34,81",11069,Freight Express,2017-09-02,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,39,20,"1165,2","0,0","1075,3017","89,8983",2,Terence Top,18,Womens wear,Clothing,Fashion for Women,Like Paradis,France,15,8,2017,Tuesday,18,"1797,9660000000001",inverno
24,2016-11-08,80,11,"42,88",10622,Freight Express,2016-11-17,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,68,18,"279,29","46,548","208,8587","70,4293",3,Cap,8,Sportwear,Clothing,Clothing for Active Adults,Hot Pants,UK,8,11,2016,Tuesday,9,"1221,1794",primavera
25,2016-11-08,80,11,"42,88",10622,Freight Express,2016-11-17,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,2,20,"355,2","0,0","287,712","67,488",1,Mr X Trousers,1,Mens Clothes,Clothing,Fashion for Men,Sunny Clothes,UK,8,11,2016,Tuesday,9,"1349,76",primavera
26,2017-02-24,80,11,"49,84",10676,Freight Express,2017-03-13,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,19,7,"67,55","0,0","56,0862","11,4638",3,Squash Shorts,8,Sportwear,Clothing,Clothing for Active Adults,Hot Pants,UK,24,2,2017,Friday,17,"80,2466",verão
27,2017-02-24,80,11,"49,84",10676,Freight Express,2017-03-13,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,10,2,"12,96","0,0","10,4976","2,4624",8,Sapporoo Gloves,4,Babywear,Clothing,0-3 Years,Nitsuchiba,Japan,24,2,2017,Friday,17,"4,9248",verão
28,2017-02-24,80,11,"49,84",10676,Freight Express,2017-03-13,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,44,21,"1565,76","0,0","1268,2656","297,4944",2,Okkaba Skin Jackets,20,Womens wear,Clothing,Fashion for Women,Asin Fashion Ltd Co,Singapore,24,2,2017,Friday,17,"6247,3823999999995",verão
29,2016-05-07,80,11,"54,41",10319,Freight Express,2016-05-09,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,17,8,"209,84","0,0","181,3018","28,5382",6,TieBreak Tennis shoes,7,Mens Footwear,Shoes,Men Shoes,New Balls,Australia,7,5,2016,Saturday,2,"228,3056",outono
30,2016-05-07,80,11,"54,41",10319,Freight Express,2016-05-09,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,28,14,"682,78","0,0","589,9219","92,8581",7,RDL Suit,12,Childrens wear,Clothing,3-15 Years,Austerlich,Germany,7,5,2016,Saturday,2,"1300,0133999999998",outono
31,2016-05-07,80,11,"54,41",10319,Freight Express,2016-05-09,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,76,30,"12119,1","0,0","10470,9024","1648,1976",2,Minnki Pälsii,23,Womens wear,Clothing,Fashion for Women,Nordik Koskenkorva,Finland,7,5,2016,Saturday,2,"49445,928",outono
32,2017-10-24,80,11,"54,66",10842,Freight Express,2017-11-06,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,68,20,"265,4","0,0","234,0828","31,3172",3,Cap,8,Sportwear,Clothing,Clothing for Active Adults,Hot Pants,UK,24,10,2017,Tuesday,13,"626,344",primavera
33,2017-10-24,80,11,"54,66",10842,Freight Express,2017-11-06,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,43,5,"55,45","0,0","48,9069","6,5431",4,Summer Shorts,20,Bath Clothes,Clothing,Beachwear,Asin Fashion Ltd Co,Singapore,24,10,2017,Tuesday,13,"32,7155",primavera
34,2017-10-24,80,11,"54,66",10842,Freight Express,2017-11-06,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,11,15,"381,45","0,0","336,4389","45,0111",1,Desperado Jeans,5,Mens Clothes,Clothing,Fashion for Men,Los Hombres Machos,Spain,24,10,2017,Tuesday,13,"675,1665",primavera
35,2017-10-24,80,11,"54,66",10842,Freight Express,2017-11-06,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,70,12,"321,84","0,0","283,8629","37,9771",1,US-Master Jeans,7,Mens Clothes,Clothing,Fashion for Men,New Balls,Australia,24,10,2017,Tuesday,13,"455,7252",primavera
36,2017-07-07,80,11,"55,53",10993,Freight Express,2017-07-08,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,41,35,"442,75","88,55","312,4044","130,3456",8,Duck Shirt,19,Babywear,Clothing,0-3 Years,Mayflower,USA,7,7,2017,Friday,1,"4473,545999999999",inverno
37,2017-07-07,80,11,"55,53",10993,Freight Express,2017-07-08,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,29,50,"7867,5","1573,5","5551,308","2316,192",6,Davenport,12,Mens Footwear,Shoes,Men Shoes,Austerlich,Germany,7,7,2017,Friday,1,"114236,1",inverno
38,2017-07-28,80,11,"64,44",11041,Freight Express,2017-08-06,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,2,30,"724,32","120,72","532,3752","191,9448",1,Mr X Trousers,1,Mens Clothes,Clothing,Fashion for Men,Sunny Clothes,UK,28,7,2017,Friday,9,"5637,623999999999",inverno
39,2017-07-28,80,11,"64,44",11041,Freight Express,2017-08-06,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,63,30,"610,5","0,0","538,461","72,039",2,Serve-Shirt,7,Womens wear,Clothing,Fashion for Women,New Balls,Australia,28,7,2017,Friday,9,"2161,17",inverno
40,2017-12-17,80,11,"66,61",10305,Freight Express,2017-12-28,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,18,25,"757,9","68,9","595,296","162,604",8,Deuce shirt,7,Babywear,Clothing,0-3 Years,New Balls,Australia,17,12,2017,Sunday,11,"3996,2000000000003",primavera
41,2017-12-17,80,11,"66,61",10305,Freight Express,2017-12-28,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,39,30,"1889,25","171,75","1483,92","405,33",2,Terence Top,18,Womens wear,Clothing,Fashion for Women,Like Paradis,France,17,12,2017,Sunday,11,"11988,15",primavera
42,2017-12-17,80,11,"66,61",10305,Freight Express,2017-12-28,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,29,25,"3133,35","284,85","2461,104","672,246",6,Davenport,12,Mens Footwear,Shoes,Men Shoes,Austerlich,Germany,17,12,2017,Sunday,11,"16521,3",primavera
43,2017-01-11,80,11,"68,35",10698,Freight Express,2017-01-31,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,65,65,"687,96","32,76","530,712","157,248",2,Stretch oui-pants,2,Womens wear,Clothing,Fashion for Women,Big L,USA,11,1,2017,Wednesday,20,"10188,359999999999",verão
44,2017-01-11,80,11,"68,35",10698,Freight Express,2017-01-31,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,17,8,"201,35","9,588","155,3256","46,0224",6,TieBreak Tennis shoes,7,Mens Footwear,Shoes,Men Shoes,New Balls,Australia,11,1,2017,Wednesday,20,"358,59119999999996",verão
45,2017-01-11,80,11,"68,35",10698,Freight Express,2017-01-31,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,11,15,"392,55","0,0","348,3246","44,2254",1,Desperado Jeans,5,Mens Clothes,Clothing,Fashion for Men,Los Hombres Machos,Spain,11,1,2017,Wednesday,20,"663,381",verão
46,2017-01-11,80,11,"68,35",10698,Freight Express,2017-01-31,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,70,8,"250,91","11,948","193,5576","57,3504",1,US-Master Jeans,7,Mens Clothes,Clothing,Fashion for Men,New Balls,Australia,11,1,2017,Wednesday,20,"446,8552",verão
47,2017-01-11,80,11,"68,35",10698,Freight Express,2017-01-31,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,29,12,"1570,84","74,802","1211,7924","359,0496",6,Davenport,12,Mens Footwear,Shoes,Men Shoes,Austerlich,Germany,11,1,2017,Wednesday,20,"4233,7932",verão
48,2017-03-14,80,11,"68,55",10594,Freight Express,2017-03-26,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,52,24,"1964,16","0,0","1590,9696","373,1904",5,Small Crocodile Boots,24,Womens Footwear,Shoes,Ladies Shoes,Cangaroo Shoes,Australia,14,3,2017,Tuesday,12,"8956,5696",verão
49,2017-03-14,80,11,"68,55",10594,Freight Express,2017-03-26,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,58,30,"1368,9","0,0","1108,809","260,091",8,Ga-Ga Dress,27,Babywear,Clothing,0-3 Years,Gal Export,France,14,3,2017,Tuesday,12,"7802,7300000000005",verão
50,2015-07-30,80,11,"69,02",10455,Freight Express,2015-08-10,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,71,30,"835,5","0,0","691,794","143,706",1,Atles Lussekofta,15,Mens Clothes,Clothing,Fashion for Men,Bar Åkeri,Norway,30,7,2015,Thursday,11,"4311,179999999999",inverno
51,2015-07-30,80,11,"69,02",10455,Freight Express,2015-08-10,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,61,25,"668,75","0,0","553,725","115,025",3,Adihash Running Shoe,29,Sportwear,Clothing,Clothing for Active Adults,Fast Runners,Canada,30,7,2015,Thursday,11,"2875,625",inverno
52,2015-07-30,80,11,"69,02",10455,Freight Express,2015-08-10,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,53,50,"3115,5","0,0","2579,634","535,866",2,Jumpin Jack Flash Dress,24,Womens wear,Clothing,Fashion for Women,Cangaroo Shoes,Australia,30,7,2015,Thursday,11,"26793,3",inverno
53,2015-07-30,80,11,"69,02",10455,Freight Express,2015-08-10,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,39,20,"1297,8","0,0","1074,5784","223,2216",2,Terence Top,18,Womens wear,Clothing,Fashion for Women,Like Paradis,France,30,7,2015,Thursday,11,"4464,432",inverno
54,2016-07-17,80,11,"69,84",10304,Freight Express,2016-08-01,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,59,10,"79,1","0,0","68,3424","10,7576",3,Rasta WCT,28,Sportwear,Clothing,Clothing for Active Adults,FrisersAfrong,France,17,7,2016,Sunday,15,"107,576",inverno
55,2016-07-17,80,11,"69,84",10304,Freight Express,2016-08-01,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,49,30,"593,7","0,0","512,9568","80,7432",3,Finnish Sport Blades,23,Sportwear,Clothing,Clothing for Active Adults,Nordik Koskenkorva,Finland,17,7,2016,Sunday,15,"2422,2960000000003",inverno
56,2016-07-17,80,11,"69,84",10304,Freight Express,2016-08-01,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,71,2,"59,52","0,0","51,4253","8,0947",1,Atles Lussekofta,15,Mens Clothes,Clothing,Fashion for Men,Bar Åkeri,Norway,17,7,2016,Sunday,15,"16,1894",inverno
57,2016-09-07,80,11,"76,2",10730,Freight Express,2016-09-09,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,31,3,"27,47","1,308","21,1896","6,2784",4,Rossi Bermuda Shorts,14,Bath Clothes,Clothing,Beachwear,Ravenna Fashion,Italy,7,9,2016,Wednesday,2,"17,5272",inverno
58,2016-09-07,80,11,"76,2",10730,Freight Express,2016-09-09,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,65,10,"95,13","4,53","73,386","21,744",2,Stretch oui-pants,2,Womens wear,Clothing,Fashion for Women,Big L,USA,7,9,2016,Wednesday,2,"212,91",inverno
59,2016-09-07,80,11,"76,2",10730,Freight Express,2016-09-09,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,16,15,"137,81","6,5625","106,3125","31,5",3,Wimbledon T-Shirt,7,Sportwear,Clothing,Clothing for Active Adults,New Balls,Australia,7,9,2016,Wednesday,2,"465,9375",inverno
60,2017-10-02,80,11,"76,28",10293,Freight Express,2017-10-10,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,24,10,"41,1","0,0","35,5104","5,5896",1,Samba Socker  Socks,10,Mens Clothes,Clothing,Fashion for Men,Samba,Brazil,2,10,2017,Monday,8,"55,896",primavera
61,2017-10-02,80,11,"76,28",10293,Freight Express,2017-10-10,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,75,6,"45,6","0,0","39,3984","6,2016",1,Bow tie,12,Mens Clothes,Clothing,Fashion for Men,Austerlich,Germany,2,10,2017,Monday,8,"37,2096",primavera
62,2017-10-02,80,11,"76,28",10293,Freight Express,2017-10-10,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,63,5,"105,3","0,0","90,9792","14,3208",2,Serve-Shirt,7,Womens wear,Clothing,Fashion for Women,New Balls,Australia,2,10,2017,Monday,8,"71,604",primavera
63,2017-10-02,80,11,"76,28",10293,Freight Express,2017-10-10,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,18,12,"328,56","0,0","283,8758","44,6842",8,Deuce shirt,7,Babywear,Clothing,0-3 Years,New Balls,Australia,2,10,2017,Monday,8,"536,2103999999999",primavera
64,2017-01-18,80,11,"76,35",10707,Freight Express,2017-01-27,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,57,40,"764,4","0,0","619,164","145,236",5,Burned Rubber Shoes,26,Womens Footwear,Shoes,Ladies Shoes,Pirilli Company,Italy,18,1,2017,Wednesday,9,"5809,44",verão
65,2017-01-18,80,11,"76,35",10707,Freight Express,2017-01-27,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,55,21,"878,01","0,0","711,1881","166,8219",3,Feiss Fleece Trousers,25,Sportwear,Clothing,Clothing for Active Adults,Mountain International,Canada,18,1,2017,Wednesday,9,"3503,2599",verão
66,2017-01-18,80,11,"76,35",10707,Freight Express,2017-01-27,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,70,28,"953,76","124,404","671,7816","281,9824",1,US-Master Jeans,7,Mens Clothes,Clothing,Fashion for Men,New Balls,Australia,18,1,2017,Wednesday,9,"7771,1032",verão
